Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
1	Spectrogram 1	1	3.072	40.0	75.0	84.1	0.9167	bdf	29075.325999	29078.397999	MARS-20150822T000000Z-2khz.1
2	Spectrogram 1	1	2.56	40.0	75.0	85.5	0.8	bdt	29675.39	29677.95	MARS-20150822T000000Z-2khz.2
3	Spectrogram 1	1	2.56	40.0	75.0	80.8	0.9	bdf	30452.606	30455.166	MARS-20150822T000000Z-2khz.3
4	Spectrogram 1	1	2.048	40.0	75.0	79.7	0.875		31018.11	31020.158	MARS-20150822T000000Z-2khz.4
5	Spectrogram 1	1	2.048	40.0	75.0	73.3	0.875		31544.19	31546.238	MARS-20150822T000000Z-2khz.5
6	Spectrogram 1	1	3.3280000000000003	40.0	75.0	76.7	0.7692	bdt	35643.006	35646.334	MARS-20150822T000000Z-2khz.6
7	Spectrogram 1	1	2.048	40.0	75.0	71.1	0.875		35655.55	35657.598	MARS-20150822T000000Z-2khz.7
8	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.3	0.7778		35707.261999	35709.566	MARS-20150822T000000Z-2khz.8
9	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.6	1.0		35959.934	35962.238	MARS-20150822T000000Z-2khz.9
10	Spectrogram 1	1	2.048	40.0	75.0	73.1	0.875		36707.198	36709.246	MARS-20150822T000000Z-2khz.10
11	Spectrogram 1	1	4.096	40.0	75.0	76.2	1.0	bdt	36861.822	36865.918	MARS-20150822T000000Z-2khz.11
12	Spectrogram 1	1	4.352	40.0	75.0	82.3	1.0	bdt	36918.91	36923.261999	MARS-20150822T000000Z-2khz.12
13	Spectrogram 1	1	3.84	40.0	75.0	78.9	0.8667	bdt	36927.358	36931.198	MARS-20150822T000000Z-2khz.13
14	Spectrogram 1	1	2.8160000000000003	40.0	75.0	81.3	0.9091	bdt	37731.198	37734.014	MARS-20150822T000000Z-2khz.14
15	Spectrogram 1	1	2.3040000000000003	40.0	75.0	73.4	0.7778	bdf	38276.99	38279.294	MARS-20150822T000000Z-2khz.15
16	Spectrogram 1	1	2.56	40.0	75.0	71.1	0.8	bdf	38454.398	38456.958	MARS-20150822T000000Z-2khz.16
17	Spectrogram 1	1	2.048	40.0	75.0	72.5	0.875		38553.982	38556.03	MARS-20150822T000000Z-2khz.17
18	Spectrogram 1	1	2.3040000000000003	40.0	75.0	71.3	0.7778		38709.118	38711.421999	MARS-20150822T000000Z-2khz.18
19	Spectrogram 1	1	3.072	40.0	75.0	72.4	0.8333		38898.558	38901.63	MARS-20150822T000000Z-2khz.19
20	Spectrogram 1	1	2.3040000000000003	40.0	75.0	74.6	0.8889		38919.038	38921.341999	MARS-20150822T000000Z-2khz.20
21	Spectrogram 1	1	3.84	40.0	75.0	73.5	0.8		38945.918	38949.758	MARS-20150822T000000Z-2khz.21
