Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
1	Spectrogram 1	1	3.584	40.0	75.0	75.4	0.7857	bdf	25805.95	25809.534	MARS-20151107T000000Z-2khz.1
2	Spectrogram 1	1	6.144	40.0	75.0	78.6	1.0	bdf	26049.661999	26055.806	MARS-20151107T000000Z-2khz.2
3	Spectrogram 1	1	2.8160000000000003	40.0	75.0	76.5	1.0	bdf	26308.99	26311.806	MARS-20151107T000000Z-2khz.3
4	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.7	0.7778	bdf	26454.398	26456.702	MARS-20151107T000000Z-2khz.4
5	Spectrogram 1	1	3.3280000000000003	40.0	75.0	72.0	0.7692	bdf	26463.358	26466.686	MARS-20151107T000000Z-2khz.5
6	Spectrogram 1	1	2.56	40.0	75.0	76.2	1.0	bdf	26502.526	26505.086	MARS-20151107T000000Z-2khz.6
7	Spectrogram 1	1	3.84	40.0	75.0	74.0	0.8	bdf	26718.333999	26722.174	MARS-20151107T000000Z-2khz.7
8	Spectrogram 1	1	3.3280000000000003	40.0	75.0	77.8	0.9231	bdf	26809.726	26813.053999	MARS-20151107T000000Z-2khz.8
9	Spectrogram 1	1	2.8160000000000003	40.0	75.0	74.5	0.9091	bdf	27179.39	27182.206	MARS-20151107T000000Z-2khz.9
10	Spectrogram 1	1	2.048	40.0	75.0	76.5	1.0	bdf	27306.622	27308.67	MARS-20151107T000000Z-2khz.10
11	Spectrogram 1	1	2.3040000000000003	40.0	75.0	72.9	0.7778	bdf	27330.429999	27332.734	MARS-20151107T000000Z-2khz.11
12	Spectrogram 1	1	2.3040000000000003	40.0	75.0	79.6	1.0	bdf	27446.91	27449.214	MARS-20151107T000000Z-2khz.12
13	Spectrogram 1	1	2.8160000000000003	40.0	75.0	77.2	0.9091	bdf	27614.334	27617.15	MARS-20151107T000000Z-2khz.13
14	Spectrogram 1	1	4.352	40.0	75.0	76.2	0.8824	bdf	27794.558	27798.91	MARS-20151107T000000Z-2khz.14
15	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.1	0.8889	bdf	28056.19	28058.494	MARS-20151107T000000Z-2khz.15
16	Spectrogram 1	1	5.376	40.0	75.0	78.5	1.0	bdf	28062.59	28067.966	MARS-20151107T000000Z-2khz.16
17	Spectrogram 1	1	3.584	40.0	75.0	80.7	0.8571	bdf	28099.71	28103.294	MARS-20151107T000000Z-2khz.17
18	Spectrogram 1	1	5.6320000000000014	40.0	75.0	81.6	1.0	bdf	28115.582	28121.214	MARS-20151107T000000Z-2khz.18
19	Spectrogram 1	1	4.096	40.0	75.0	84.2	1.0	bdf	28151.422	28155.518	MARS-20151107T000000Z-2khz.19
20	Spectrogram 1	1	3.584	40.0	75.0	81.3	0.9286	bdf	28281.725999	28285.31	MARS-20151107T000000Z-2khz.20
21	Spectrogram 1	1	5.376	40.0	75.0	79.6	0.9524	bdf	28295.294	28300.67	MARS-20151107T000000Z-2khz.21
22	Spectrogram 1	1	5.376	40.0	75.0	81.2	1.0	bdf	28475.006	28480.382	MARS-20151107T000000Z-2khz.22
23	Spectrogram 1	1	2.3040000000000003	40.0	75.0	77.8	0.8889	bdf	28497.022	28499.325999	MARS-20151107T000000Z-2khz.23
24	Spectrogram 1	1	4.864	40.0	75.0	78.1	0.9474	bdf	28625.278	28630.142	MARS-20151107T000000Z-2khz.24
25	Spectrogram 1	1	5.376	40.0	75.0	81.9	0.9524	bdf	28643.454	28648.83	MARS-20151107T000000Z-2khz.25
26	Spectrogram 1	1	5.888	40.0	75.0	82.3	1.0	bdf	28654.718	28660.606	MARS-20151107T000000Z-2khz.26
27	Spectrogram 1	1	3.072	40.0	75.0	78.2	0.75	bdf	28691.582	28694.654	MARS-20151107T000000Z-2khz.27
28	Spectrogram 1	1	3.84	40.0	75.0	83.6	1.0	bdf	28708.478	28712.317999	MARS-20151107T000000Z-2khz.28
29	Spectrogram 1	1	3.84	40.0	75.0	83.8	1.0	bdf	28810.622	28814.462	MARS-20151107T000000Z-2khz.29
30	Spectrogram 1	1	5.6320000000000014	40.0	75.0	81.0	1.0	bdf	28879.23	28884.862	MARS-20151107T000000Z-2khz.30
31	Spectrogram 1	1	4.352	40.0	75.0	82.4	1.0	bdf	28923.262	28927.614	MARS-20151107T000000Z-2khz.31
32	Spectrogram 1	1	3.584	40.0	75.0	76.4	0.9286	bdf	28934.27	28937.854	MARS-20151107T000000Z-2khz.32
33	Spectrogram 1	1	4.864	40.0	75.0	79.2	1.0	bdf	29003.645999	29008.51	MARS-20151107T000000Z-2khz.33
34	Spectrogram 1	1	5.12	40.0	75.0	84.6	1.0	bdf	29111.934	29117.054	MARS-20151107T000000Z-2khz.34
35	Spectrogram 1	1	6.4	40.0	75.0	85.5	1.0	bdf	29149.054	29155.454	MARS-20151107T000000Z-2khz.35
36	Spectrogram 1	1	2.8160000000000003	40.0	75.0	84.1	1.0	bdf	29166.462	29169.278	MARS-20151107T000000Z-2khz.36
37	Spectrogram 1	1	6.6560000000000015	40.0	75.0	83.8	1.0	bdf	29214.59	29221.245999	MARS-20151107T000000Z-2khz.37
38	Spectrogram 1	1	7.68	40.0	75.0	87.0	0.9	bdf	29347.965999	29355.645999	MARS-20151107T000000Z-2khz.38
39	Spectrogram 1	1	3.3280000000000003	40.0	75.0	86.3	1.0	bdf	29356.157999	29359.486	MARS-20151107T000000Z-2khz.39
