Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
1	Spectrogram 1	1	4.6080000000000005	40.0	75.0	83.4	0.9444	bdf	63497.854	63502.462	MARS-20150817T000000Z-2khz.1
2	Spectrogram 1	1	4.864	40.0	75.0	91.3	1.0		65424.766	65429.63	MARS-20150817T000000Z-2khz.2
3	Spectrogram 1	1	2.3040000000000003	40.0	75.0	77.4	0.7778	bdf	65443.454	65445.758	MARS-20150817T000000Z-2khz.3
4	Spectrogram 1	1	2.048	40.0	75.0	83.5	0.75	bdf	65474.942	65476.99	MARS-20150817T000000Z-2khz.4
5	Spectrogram 1	1	3.584	40.0	75.0	83.2	1.0	bdf	65670.013999	65673.598	MARS-20150817T000000Z-2khz.5
6	Spectrogram 1	1	4.096	40.0	75.0	83.0	0.875	bdf	65832.83	65836.926	MARS-20150817T000000Z-2khz.6
7	Spectrogram 1	1	2.3040000000000003	40.0	75.0	85.9	0.8889	bdf	65875.582	65877.886	MARS-20150817T000000Z-2khz.7
8	Spectrogram 1	1	2.048	40.0	75.0	84.7	1.0	bdf	65997.95	65999.998	MARS-20150817T000000Z-2khz.8
9	Spectrogram 1	1	5.888	40.0	75.0	88.0	1.0	bdf	66104.702	66110.59	MARS-20150817T000000Z-2khz.9
10	Spectrogram 1	1	2.048	40.0	75.0	87.6	1.0		66240.382	66242.43	MARS-20150817T000000Z-2khz.10
11	Spectrogram 1	1	6.144	40.0	75.0	87.8	0.9583	bdf	66555.262	66561.406	MARS-20150817T000000Z-2khz.11
12	Spectrogram 1	1	2.3040000000000003	40.0	75.0	78.4	0.8889	bdf	66658.43	66660.734	MARS-20150817T000000Z-2khz.12
13	Spectrogram 1	1	3.84	40.0	75.0	78.5	0.9333	bdf	66673.79	66677.63	MARS-20150817T000000Z-2khz.13
14	Spectrogram 1	1	7.167999999999998	40.0	75.0	88.7	1.0	bdf	66710.398	66717.566	MARS-20150817T000000Z-2khz.14
15	Spectrogram 1	1	2.56	40.0	75.0	83.2	1.0	bdt	67052.157999	67054.718	MARS-20150817T000000Z-2khz.15
16	Spectrogram 1	1	6.144	40.0	75.0	86.5	1.0	bdf	67070.59	67076.734	MARS-20150817T000000Z-2khz.16
17	Spectrogram 1	1	6.4	40.0	75.0	90.5	1.0	bdf	67192.702	67199.102	MARS-20150817T000000Z-2khz.17
18	Spectrogram 1	1	6.144	40.0	75.0	90.8	1.0	bdf	67313.534	67319.678	MARS-20150817T000000Z-2khz.18
19	Spectrogram 1	1	2.3040000000000003	40.0	75.0	80.0	0.8889	bdf	67486.334	67488.638	MARS-20150817T000000Z-2khz.19
20	Spectrogram 1	1	2.8160000000000003	40.0	75.0	75.4	0.8182	bdf	68122.75	68125.566	MARS-20150817T000000Z-2khz.20
21	Spectrogram 1	1	3.84	40.0	75.0	77.3	0.8	bdf	68164.477999	68168.318	MARS-20150817T000000Z-2khz.21
22	Spectrogram 1	1	2.8160000000000003	40.0	75.0	75.4	0.8182	bdf	68313.725999	68316.542	MARS-20150817T000000Z-2khz.22
23	Spectrogram 1	1	2.048	40.0	75.0	75.4	0.875	bdf	68458.365999	68460.414	MARS-20150817T000000Z-2khz.23
24	Spectrogram 1	1	2.3040000000000003	40.0	75.0	70.4	0.7778	bdf	69052.542	69054.846	MARS-20150817T000000Z-2khz.24
25	Spectrogram 1	1	2.56	40.0	75.0	76.3	1.0	bdf	69189.758	69192.318	MARS-20150817T000000Z-2khz.25
26	Spectrogram 1	1	5.376	40.0	75.0	78.1	1.0	bdf	69317.502	69322.878	MARS-20150817T000000Z-2khz.26
27	Spectrogram 1	1	4.6080000000000005	40.0	75.0	88.0	0.9444		69424.765999	69429.374	MARS-20150817T000000Z-2khz.27
28	Spectrogram 1	1	3.3280000000000003	40.0	75.0	77.3	0.8462		69444.734	69448.062	MARS-20150817T000000Z-2khz.28
29	Spectrogram 1	1	3.072	40.0	75.0	78.0	1.0		69448.83	69451.902	MARS-20150817T000000Z-2khz.29
30	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.1	0.8889	bdf	69694.078	69696.382	MARS-20150817T000000Z-2khz.30
31	Spectrogram 1	1	3.3280000000000003	40.0	75.0	76.5	0.9231	bdf	69775.998	69779.325999	MARS-20150817T000000Z-2khz.31
32	Spectrogram 1	1	2.048	40.0	75.0	76.6	0.75	bdf	69780.094	69782.142	MARS-20150817T000000Z-2khz.32
33	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.4	0.8889	bdf	69798.782	69801.085999	MARS-20150817T000000Z-2khz.33
34	Spectrogram 1	1	2.048	40.0	75.0	80.7	1.0	bdf	69942.398	69944.446	MARS-20150817T000000Z-2khz.34
35	Spectrogram 1	1	3.072	40.0	75.0	74.7	0.9167	bdf	69946.238	69949.31	MARS-20150817T000000Z-2khz.35
36	Spectrogram 1	1	3.84	40.0	75.0	77.4	1.0	bdf	69952.126	69955.965999	MARS-20150817T000000Z-2khz.36
37	Spectrogram 1	1	5.6320000000000014	40.0	75.0	87.8	1.0	bdf	70185.598	70191.23	MARS-20150817T000000Z-2khz.37
38	Spectrogram 1	1	6.144	40.0	75.0	77.8	0.9167	bdf	70347.39	70353.534	MARS-20150817T000000Z-2khz.38
39	Spectrogram 1	1	3.072	40.0	75.0	80.6	1.0	bdf	70420.35	70423.422	MARS-20150817T000000Z-2khz.39
40	Spectrogram 1	1	3.84	40.0	75.0	82.5	0.9333	bdf	70423.934	70427.774	MARS-20150817T000000Z-2khz.40
41	Spectrogram 1	1	4.864	40.0	75.0	85.8	0.9474	bdf	70434.685999	70439.55	MARS-20150817T000000Z-2khz.41
42	Spectrogram 1	1	4.352	40.0	75.0	84.2	1.0	bdf	70473.342	70477.694	MARS-20150817T000000Z-2khz.42
43	Spectrogram 1	1	5.376	40.0	75.0	76.9	0.9524	bdf	70581.374	70586.75	MARS-20150817T000000Z-2khz.43
44	Spectrogram 1	1	2.048	40.0	75.0	73.1	0.875	bdf	70659.71	70661.758	MARS-20150817T000000Z-2khz.44
45	Spectrogram 1	1	2.048	40.0	75.0	71.6	0.875	bdf	70705.278	70707.325999	MARS-20150817T000000Z-2khz.45
46	Spectrogram 1	1	3.584	40.0	75.0	72.7	0.8571	bdf	70761.342	70764.926	MARS-20150817T000000Z-2khz.46
47	Spectrogram 1	1	5.6320000000000014	40.0	75.0	78.0	0.9545	bdf	70800.254	70805.886	MARS-20150817T000000Z-2khz.47
48	Spectrogram 1	1	2.56	40.0	75.0	76.8	1.0	bdf	70919.55	70922.11	MARS-20150817T000000Z-2khz.48
49	Spectrogram 1	1	4.6080000000000005	40.0	75.0	73.8	0.9444	bdf	70923.134	70927.742	MARS-20150817T000000Z-2khz.49
50	Spectrogram 1	1	7.936	40.0	75.0	79.5	1.0		71044.99	71052.926	MARS-20150817T000000Z-2khz.50
51	Spectrogram 1	1	2.3040000000000003	40.0	75.0	72.8	1.0	bdf	71131.774	71134.078	MARS-20150817T000000Z-2khz.51
52	Spectrogram 1	1	6.4	40.0	75.0	78.6	0.96	bdf	71164.285999	71170.685999	MARS-20150817T000000Z-2khz.52
53	Spectrogram 1	1	2.3040000000000003	40.0	75.0	77.9	1.0	bdf	71282.814	71285.117999	MARS-20150817T000000Z-2khz.53
54	Spectrogram 1	1	5.6320000000000014	40.0	75.0	76.2	0.9545	bdf	71286.398	71292.03	MARS-20150817T000000Z-2khz.54
55	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.0	0.8889	bdf	71294.078	71296.382	MARS-20150817T000000Z-2khz.55
56	Spectrogram 1	1	3.072	40.0	75.0	77.3	1.0	bdf	71324.03	71327.102	MARS-20150817T000000Z-2khz.56
57	Spectrogram 1	1	2.3040000000000003	40.0	75.0	73.3	0.7778	bdf	71530.11	71532.414	MARS-20150817T000000Z-2khz.57
58	Spectrogram 1	1	2.048	40.0	75.0	74.0	0.875	bdf	71623.294	71625.342	MARS-20150817T000000Z-2khz.58
59	Spectrogram 1	1	2.8160000000000003	40.0	75.0	76.0	0.9091		71640.19	71643.005999	MARS-20150817T000000Z-2khz.59
60	Spectrogram 1	1	7.936	40.0	75.0	79.8	0.9355	bdf	71759.742	71767.678	MARS-20150817T000000Z-2khz.60
61	Spectrogram 1	1	5.376	40.0	75.0	78.6	0.8571	bdf	71973.758	71979.134	MARS-20150817T000000Z-2khz.61
62	Spectrogram 1	1	3.072	40.0	75.0	79.4	1.0	bdf	71980.414	71983.486	MARS-20150817T000000Z-2khz.62
63	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.4	0.7778	bdf	71999.358	72001.662	MARS-20150817T000000Z-2khz.63
64	Spectrogram 1	1	2.8160000000000003	40.0	75.0	77.9	1.0	bdf	72015.486	72018.302	MARS-20150817T000000Z-2khz.64
65	Spectrogram 1	1	2.8160000000000003	40.0	75.0	77.1	0.8182	bdf	72051.325999	72054.142	MARS-20150817T000000Z-2khz.65
66	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.3	1.0	bdf	72065.15	72067.454	MARS-20150817T000000Z-2khz.66
67	Spectrogram 1	1	2.56	40.0	75.0	78.9	0.9	bdf	72091.005999	72093.566	MARS-20150817T000000Z-2khz.67
68	Spectrogram 1	1	2.048	40.0	75.0	77.3	1.0	bdf	72340.35	72342.398	MARS-20150817T000000Z-2khz.68
69	Spectrogram 1	1	2.3040000000000003	40.0	75.0	79.6	1.0	bdf	72463.998	72466.302	MARS-20150817T000000Z-2khz.69
70	Spectrogram 1	1	3.072	40.0	75.0	74.6	0.8333	bdf	72501.63	72504.702	MARS-20150817T000000Z-2khz.70
71	Spectrogram 1	1	2.048	40.0	75.0	76.6	1.0		73096.318	73098.365999	MARS-20150817T000000Z-2khz.71
72	Spectrogram 1	1	3.072	40.0	75.0	75.9	0.8333	bdf	73503.87	73506.942	MARS-20150817T000000Z-2khz.72
73	Spectrogram 1	1	6.144	40.0	75.0	78.1	0.7917	bdf	74033.278	74039.422	MARS-20150817T000000Z-2khz.73
74	Spectrogram 1	1	2.048	40.0	75.0	78.5	0.875		74045.822	74047.87	MARS-20150817T000000Z-2khz.74
75	Spectrogram 1	1	5.12	40.0	75.0	75.1	0.85	bdf	74813.822	74818.942	MARS-20150817T000000Z-2khz.75
76	Spectrogram 1	1	2.3040000000000003	40.0	75.0	78.7	0.7778	bdf	74874.494	74876.797999	MARS-20150817T000000Z-2khz.76
77	Spectrogram 1	1	2.8160000000000003	40.0	75.0	79.1	1.0	bdf	75190.398	75193.214	MARS-20150817T000000Z-2khz.77
78	Spectrogram 1	1	5.12	40.0	75.0	78.0	0.9	bdf	75193.725999	75198.846	MARS-20150817T000000Z-2khz.78
79	Spectrogram 1	1	7.167999999999998	40.0	75.0	78.0	0.9286		75236.99	75244.157999	MARS-20150817T000000Z-2khz.79
80	Spectrogram 1	1	2.56	40.0	75.0	76.8	0.9		75245.182	75247.742	MARS-20150817T000000Z-2khz.80
81	Spectrogram 1	1	7.167999999999998	40.0	75.0	79.0	0.9643	bdf	75547.518	75554.685999	MARS-20150817T000000Z-2khz.81
82	Spectrogram 1	1	5.6320000000000014	40.0	75.0	78.1	1.0	bdf	75594.878	75600.51	MARS-20150817T000000Z-2khz.82
83	Spectrogram 1	1	2.048	40.0	75.0	74.3	1.0	bdf	75603.837999	75605.886	MARS-20150817T000000Z-2khz.83
84	Spectrogram 1	1	2.8160000000000003	40.0	75.0	72.4	1.0		75840.894	75843.71	MARS-20150817T000000Z-2khz.84
85	Spectrogram 1	1	2.56	40.0	75.0	73.3	0.9	bdf	75919.998	75922.558	MARS-20150817T000000Z-2khz.85
86	Spectrogram 1	1	7.68	40.0	75.0	75.3	0.9667	bdf	76051.837999	76059.518	MARS-20150817T000000Z-2khz.86
87	Spectrogram 1	1	2.56	40.0	75.0	75.3	0.8	bdf	76060.285999	76062.846	MARS-20150817T000000Z-2khz.87
88	Spectrogram 1	1	2.56	40.0	75.0	75.8	0.9		76222.846	76225.405999	MARS-20150817T000000Z-2khz.88
89	Spectrogram 1	1	3.072	40.0	75.0	75.3	0.8333	bdf	76511.87	76514.942	MARS-20150817T000000Z-2khz.89
90	Spectrogram 1	1	4.864	40.0	75.0	75.2	1.0	bdf	76517.758	76522.622	MARS-20150817T000000Z-2khz.90
91	Spectrogram 1	1	2.048	40.0	75.0	70.4	1.0		76779.645999	76781.694	MARS-20150817T000000Z-2khz.91
92	Spectrogram 1	1	3.072	40.0	75.0	75.6	1.0	bdf	76794.75	76797.822	MARS-20150817T000000Z-2khz.92
93	Spectrogram 1	1	4.096	40.0	75.0	77.5	1.0	bdf	77004.67	77008.765999	MARS-20150817T000000Z-2khz.93
94	Spectrogram 1	1	6.912000000000001	40.0	75.0	75.9	0.963	bdf	77020.285999	77027.198	MARS-20150817T000000Z-2khz.94
95	Spectrogram 1	1	7.936	40.0	75.0	78.9	1.0	bdf	77061.502	77069.437999	MARS-20150817T000000Z-2khz.95
96	Spectrogram 1	1	2.048	40.0	75.0	72.5	0.75	bdf	77161.598	77163.645999	MARS-20150817T000000Z-2khz.96
97	Spectrogram 1	1	2.3040000000000003	40.0	75.0	72.7	1.0		77259.645999	77261.95	MARS-20150817T000000Z-2khz.97
98	Spectrogram 1	1	3.072	40.0	75.0	82.4	1.0		77816.702	77819.774	MARS-20150817T000000Z-2khz.98
99	Spectrogram 1	1	2.048	40.0	75.0	82.4	1.0	bdt	78046.59	78048.638	MARS-20150817T000000Z-2khz.99
100	Spectrogram 1	1	2.3040000000000003	40.0	75.0	73.3	0.7778	bdf	78182.782	78185.085999	MARS-20150817T000000Z-2khz.100
101	Spectrogram 1	1	2.56	40.0	75.0	72.4	1.0	bdf	78837.886	78840.446	MARS-20150817T000000Z-2khz.101
102	Spectrogram 1	1	2.048	40.0	75.0	74.2	0.875		78923.39	78925.437999	MARS-20150817T000000Z-2khz.102
103	Spectrogram 1	1	4.6080000000000005	40.0	75.0	72.2	0.8889		79226.494	79231.102	MARS-20150817T000000Z-2khz.103
104	Spectrogram 1	1	2.56	40.0	75.0	74.0	1.0	bdf	79303.038	79305.598	MARS-20150817T000000Z-2khz.104
105	Spectrogram 1	1	4.096	40.0	75.0	74.6	0.8125	bdf	79589.502	79593.598	MARS-20150817T000000Z-2khz.105
106	Spectrogram 1	1	2.8160000000000003	40.0	75.0	78.1	1.0	bdf	79760.51	79763.325999	MARS-20150817T000000Z-2khz.106
107	Spectrogram 1	1	2.3040000000000003	40.0	75.0	72.4	1.0		79775.102	79777.405999	MARS-20150817T000000Z-2khz.107
