Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
557	Spectrogram 1	1	2.048	40.0	75.0	83.8	0.875	bdf	43.902	45.95	MARS-20151108T000000Z-2khz.557
558	Spectrogram 1	1	2.56	40.0	75.0	73.2	0.8	bdf	918.398	920.958	MARS-20151108T000000Z-2khz.558
559	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.2	0.7778		1618.814	1621.117999	MARS-20151108T000000Z-2khz.559
560	Spectrogram 1	1	4.096	40.0	75.0	78.0	0.9375	bdf	1747.325999	1751.422	MARS-20151108T000000Z-2khz.560
561	Spectrogram 1	1	3.3280000000000003	40.0	75.0	77.4	1.0	bdf	1849.47	1852.797999	MARS-20151108T000000Z-2khz.561
562	Spectrogram 1	1	4.864	40.0	75.0	77.4	1.0	bdf	1855.87	1860.734	MARS-20151108T000000Z-2khz.562
563	Spectrogram 1	1	2.048	40.0	75.0	74.3	0.875	bdf	2335.102	2337.15	MARS-20151108T000000Z-2khz.563
564	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.7	1.0		15463.806	15466.11	MARS-20151108T000000Z-2khz.564
565	Spectrogram 1	1	2.048	40.0	75.0	78.7	1.0		15826.558	15828.606	MARS-20151108T000000Z-2khz.565
566	Spectrogram 1	1	2.3040000000000003	40.0	75.0	81.8	1.0		15836.798	15839.102	MARS-20151108T000000Z-2khz.566
567	Spectrogram 1	1	2.048	40.0	75.0	85.0	1.0		15847.55	15849.598	MARS-20151108T000000Z-2khz.567
568	Spectrogram 1	1	2.048	40.0	75.0	77.5	0.875	bdf	17197.95	17199.997999	MARS-20151108T000000Z-2khz.568
569	Spectrogram 1	1	2.56	40.0	75.0	75.4	0.9	bdf	18067.07	18069.63	MARS-20151108T000000Z-2khz.569
570	Spectrogram 1	1	2.56	40.0	75.0	74.0	0.8	bdf	18924.925999	18927.485999	MARS-20151108T000000Z-2khz.570
571	Spectrogram 1	1	2.048	40.0	75.0	75.8	0.75	bdf	18970.494	18972.542	MARS-20151108T000000Z-2khz.571
572	Spectrogram 1	1	2.3040000000000003	40.0	75.0	74.3	1.0	bdf	19149.95	19152.254	MARS-20151108T000000Z-2khz.572
573	Spectrogram 1	1	2.048	40.0	75.0	74.2	0.875	bdf	19290.75	19292.798	MARS-20151108T000000Z-2khz.573
574	Spectrogram 1	1	2.048	40.0	75.0	73.6	0.875	bdf	19355.262	19357.31	MARS-20151108T000000Z-2khz.574
575	Spectrogram 1	1	2.048	40.0	75.0	72.0	0.75	bdf	20158.078	20160.125999	MARS-20151108T000000Z-2khz.575
576	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.1	1.0	bdf	20363.134	20365.438	MARS-20151108T000000Z-2khz.576
577	Spectrogram 1	1	2.048	40.0	75.0	75.9	1.0	bdf	20561.534	20563.582	MARS-20151108T000000Z-2khz.577
578	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.9	1.0	bdf	22085.758	22088.062	MARS-20151108T000000Z-2khz.578
