Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
291	Spectrogram 1	1	5.888	40.0	75.0	78.7	0.8261	bdf	138.365999	144.254	MARS-20150823T000000Z-2khz.291
292	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.3	0.8889	bdf	187.774	190.078	MARS-20150823T000000Z-2khz.292
293	Spectrogram 1	1	3.3280000000000003	40.0	75.0	77.1	1.0	bdf	190.59	193.918	MARS-20150823T000000Z-2khz.293
294	Spectrogram 1	1	2.56	40.0	75.0	78.9	1.0	bdf	874.622	877.182	MARS-20150823T000000Z-2khz.294
295	Spectrogram 1	1	3.072	40.0	75.0	79.6	1.0	bdf	1165.694	1168.765999	MARS-20150823T000000Z-2khz.295
296	Spectrogram 1	1	3.84	40.0	75.0	80.5	0.9333	bdf	1781.886	1785.725999	MARS-20150823T000000Z-2khz.296
297	Spectrogram 1	1	4.352	40.0	75.0	80.9	0.8824	bdf	1991.294	1995.645999	MARS-20150823T000000Z-2khz.297
298	Spectrogram 1	1	2.048	40.0	75.0	78.0	1.0	bdf	2002.302	2004.35	MARS-20150823T000000Z-2khz.298
299	Spectrogram 1	1	3.3280000000000003	40.0	75.0	78.4	1.0	bdf	2713.214	2716.542	MARS-20150823T000000Z-2khz.299
300	Spectrogram 1	1	2.8160000000000003	40.0	75.0	79.7	1.0	bdf	3139.454	3142.27	MARS-20150823T000000Z-2khz.300
301	Spectrogram 1	1	2.3040000000000003	40.0	75.0	77.7	1.0	bdf	3193.982	3196.285999	MARS-20150823T000000Z-2khz.301
302	Spectrogram 1	1	3.072	40.0	75.0	81.0	1.0	bdt	4053.374	4056.446	MARS-20150823T000000Z-2khz.302
303	Spectrogram 1	1	2.56	40.0	75.0	80.0	1.0	bdt	4070.27	4072.83	MARS-20150823T000000Z-2khz.303
304	Spectrogram 1	1	5.12	40.0	75.0	80.0	0.95		4110.974	4116.094	MARS-20150823T000000Z-2khz.304
305	Spectrogram 1	1	3.84	40.0	75.0	81.4	0.9333	bdt	4141.437999	4145.278	MARS-20150823T000000Z-2khz.305
306	Spectrogram 1	1	3.84	40.0	75.0	80.4	0.9333	bdt	4167.806	4171.645999	MARS-20150823T000000Z-2khz.306
307	Spectrogram 1	1	3.3280000000000003	40.0	75.0	80.8	1.0	bdt	4188.03	4191.358	MARS-20150823T000000Z-2khz.307
308	Spectrogram 1	1	3.3280000000000003	40.0	75.0	78.6	0.9231	bdt	4202.365999	4205.694	MARS-20150823T000000Z-2khz.308
309	Spectrogram 1	1	2.56	40.0	75.0	78.5	0.8	bdt	4223.102	4225.662	MARS-20150823T000000Z-2khz.309
310	Spectrogram 1	1	2.56	40.0	75.0	77.6	0.9	bdf	4801.149999	4803.71	MARS-20150823T000000Z-2khz.310
